,month,year,METER_ID,BUILDING_GROUP,CONSUMPTION
347,4,2016,53,Campus Meter,955219.241
348,5,2016,53,Campus Meter,951404.261
349,6,2016,53,Campus Meter,1061801.281
350,7,2016,53,Campus Meter,1192506.898
351,8,2016,53,Campus Meter,1217736.314
352,9,2016,53,Campus Meter,1265021.457
353,10,2016,53,Campus Meter,1041384.593
354,11,2016,53,Campus Meter,910517.252
355,12,2016,53,Campus Meter,874153.792
356,1,2017,53,Campus Meter,948539.081
357,2,2017,53,Campus Meter,846942.641
358,3,2017,53,Campus Meter,863349.247
359,4,2017,53,Campus Meter,856457.542
360,5,2017,53,Campus Meter,899589.157
361,6,2017,53,Campus Meter,1057174.374
362,7,2017,53,Campus Meter,1139469.704
363,8,2017,53,Campus Meter,1090815.693
364,9,2017,53,Campus Meter,1211349.009
365,10,2017,53,Campus Meter,1038338.579
366,11,2017,53,Campus Meter,881139.141
367,12,2017,53,Campus Meter,815366.869
368,1,2018,53,Campus Meter,894367.245
369,2,2018,53,Campus Meter,836601.658
370,3,2018,53,Campus Meter,807449.555
371,4,2018,53,Campus Meter,821600.178
372,5,2018,53,Campus Meter,1095338.558
373,6,2018,53,Campus Meter,1116803.184
374,7,2018,53,Campus Meter,1152329.488
375,8,2018,53,Campus Meter,1152560.283
376,9,2018,53,Campus Meter,1221322.173
377,10,2018,53,Campus Meter,962560.466
378,11,2018,53,Campus Meter,896376.966
379,12,2018,53,Campus Meter,793167.947
380,1,2019,53,Campus Meter,904155.686
381,2,2019,53,Campus Meter,864418.794
382,3,2019,53,Campus Meter,820137.49
383,4,2019,53,Campus Meter,825250.462
384,5,2019,53,Campus Meter,890646.123
385,6,2019,53,Campus Meter,946220.257
386,7,2019,53,Campus Meter,1190086.267
387,8,2019,53,Campus Meter,1081989.851
388,9,2019,53,Campus Meter,1159795.228
389,10,2019,53,Campus Meter,874853.4803
390,11,2019,53,Campus Meter,724066.3873
391,12,2019,53,Campus Meter,723945.3124
392,1,2020,53,Campus Meter,395015.9751
393,1,2016,30,Laboratory,30016.6162
394,2,2016,30,Laboratory,127538.6282
395,3,2016,30,Laboratory,130277.6279
396,4,2016,30,Laboratory,112293.719
397,5,2016,30,Laboratory,116438.3402
398,6,2016,30,Laboratory,140660.4487
399,7,2016,30,Laboratory,159978.5921
400,8,2016,30,Laboratory,155057.6518
401,9,2016,30,Laboratory,129557.2506
402,10,2016,30,Laboratory,117956.0151
403,11,2016,30,Laboratory,105666.8802
404,12,2016,30,Laboratory,89758.007
405,1,2017,30,Laboratory,89751.4157
406,2,2017,30,Laboratory,83558.2874
407,3,2017,30,Laboratory,95901.0634
408,4,2017,30,Laboratory,106823.1634
409,5,2017,30,Laboratory,113506.1804
